match_id,start_time,win,hero_id,account_id,leaguename
3364162010,1502223753,false,31,98878010,The International 2017
3364162010,1502223753,false,23,107081378,The International 2017
3364162010,1502223753,false,36,106863163,The International 2017
3364162010,1502223753,false,95,177416702,The International 2017
3364162010,1502223753,false,38,134276083,The International 2017
3364210383,1502226704,true,41,132851371,The International 2017
3364210383,1502226704,true,84,134556694,The International 2017
3364210383,1502226704,false,7,134276083,The International 2017
3364210383,1502226704,false,95,177416702,The International 2017
3364210383,1502226704,false,52,106863163,The International 2017
3364210383,1502226704,false,88,107081378,The International 2017
3364210383,1502226704,false,90,98878010,The International 2017
3364210383,1502226704,true,66,106809101,The International 2017
3364210383,1502226704,true,16,92423451,The International 2017
3364210383,1502226704,true,40,106573901,The International 2017
3364267872,1502230610,true,71,87278757,The International 2017
3364267872,1502230610,true,86,89117038,The International 2017
3364267872,1502230610,true,6,116585378,The International 2017
3364267872,1502230610,true,39,101450083,The International 2017
3364267872,1502230610,true,36,169025618,The International 2017
3364267872,1502230610,false,13,105248644,The International 2017
3364267872,1502230610,false,99,34505203,The International 2017
3364267872,1502230610,false,100,82262664,The International 2017
3364267872,1502230610,false,90,101356886,The International 2017
3364267872,1502230610,false,70,72312627,The International 2017
3364308762,1502233763,false,65,169025618,The International 2017
3364308762,1502233763,true,73,105248644,The International 2017
3364308762,1502233763,true,40,34505203,The International 2017
3364308762,1502233763,true,111,82262664,The International 2017
3364308762,1502233763,true,60,101356886,The International 2017
3364308762,1502233763,true,77,72312627,The International 2017
3364308762,1502233763,false,30,87278757,The International 2017
3364308762,1502233763,false,28,89117038,The International 2017
3364308762,1502233763,false,12,116585378,The International 2017
3364308762,1502233763,false,81,101450083,The International 2017
3364351128,1502237344,false,71,87278757,The International 2017
3364351128,1502237344,false,86,89117038,The International 2017
3364351128,1502237344,false,39,116585378,The International 2017
3364351128,1502237344,false,48,101450083,The International 2017
3364351128,1502237344,false,53,169025618,The International 2017
3364351128,1502237344,true,95,105248644,The International 2017
3364351128,1502237344,true,104,34505203,The International 2017
